year,title,ndc_code,genre,genre_major,location,creator_normalized
1838,和歌名所集覧,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,不明,その他
1841,和歌寄書,911.137,911.137:和歌．短歌/古代後期［中古］：平安時代/私撰集：新撰和歌集，三十六人集，古今和歌六帖,和歌．短歌,不明,不明
1845,和歌麓の塵,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,不明,その他
1843,和漢朗詠集,91,91:文学/日本文学,文学,京都,その他
1811,和漢連珠朗詠 : 〔和綴じ本〕,,不明,不明,不明,その他
1861,和蘭シーボルト横浜に於て対話の大意,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,不明,不明
1850,善庵随筆 2巻附録1巻,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,不明,その他
1846,善悪道中記,913.55,913.55:小説．物語/近世：江戸時代/滑稽本：十返舎一九，式亭三馬，滝亭鯉丈,小説．物語,江戸,その他
1853,善惡胸の機關,913.55,913.55:小説．物語/近世：江戸時代/滑稽本：十返舎一九，式亭三馬，滝亭鯉丈,小説．物語,不明,その他
1847,嘉永二十五家絶句,919.5,919.5:日本文学/漢詩文．日本漢文学/近世：江戸時代,日本文学,不明,不明
1842,嚶々筆語,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,京都,その他
1848,四季発句呉竹類題集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,江戸,その他
1862,四時行,913,913:日本文学/小説．物語,日本文学,京都,その他
1825,回国雑記標註,915.4,915.4:日本文学/日記．書簡．紀行/中世：鎌倉・室町時代,日本文学,不明,その他
1856,回天詩史,919.5,919.5:日本文学/漢詩文．日本漢文学/近世：江戸時代,日本文学,不明,その他
1808,国字鵺物語 : 5巻,913.56,913.56:小説．物語/近世：江戸時代/読本：滝沢馬琴，上田秋成,小説．物語,江戸,その他
1814,国歌八論,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,不明,その他
1820,土佐のにき,915.32,915.32:日記．書簡．紀行/古代：平安時代まで/土佐日記,日記．書簡．紀行,名古屋,その他
1819,土佐日記考証,915.3,915.3:日本文学/日記．書簡．紀行/古代：平安時代まで,日本文学,不明,その他
1842,土佐日記舟の直路 : 2巻,915,915:日本文学/日記．書簡．紀行,日本文学,不明,その他
1810,坐敷芸忠臣蔵,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,不明,その他
1806,填詞図譜 : 2巻附録1巻,919,919:日本文学/漢詩文．日本漢文学,日本文学,京都,その他
1854,塵塚物語,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,不明,その他
1846,増穂集,913,913:日本文学/小説．物語,日本文学,不明,その他
1857,増補掌中梅室発句集,913,913:日本文学/小説．物語,日本文学,大阪,その他
1805,増補狂歌題林抄 4巻 (存1巻),911.19,911.19:詩歌/和歌．短歌/狂歌．へなぶり,詩歌,不明,その他
1836,墨林奇標,919,919:日本文学/漢詩文．日本漢文学,日本文学,江戸,その他
1833,変宅論 : 2巻,913.55,913.55:小説．物語/近世：江戸時代/滑稽本：十返舎一九，式亭三馬，滝亭鯉丈,小説．物語,京都,その他
1857,多武峯二十六勝志,919,919:日本文学/漢詩文．日本漢文学,日本文学,不明,その他
1859,夜雨菴集 : 3巻,911.15,911.15:詩歌/和歌．短歌/近世：江戸時代,詩歌,不明,その他
1822,夢路日記,915,915:日本文学/日記．書簡．紀行,日本文学,不明,中島 広足
1849,大伴金道忠孝図絵,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,大阪,その他
1803,大和物語,913.3,913.3:日本文学/小説．物語/古代後期［中古］：平安時代,日本文学,江戸,その他
1823,大宝倭漢朗詠集 : 2巻,919.5,919.5:日本文学/漢詩文．日本漢文学/近世：江戸時代,日本文学,京都,その他
1857,大川仁政録,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,不明,その他
1841,大師河原撫子話 : 〔和綴じ本〕,,不明,不明,江戸,その他
1834,大幣,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,京都,その他
1850,大晦日曙草紙,913.59,913.59:小説．物語/近世：江戸時代/咄本：醒睡笑,小説．物語,不明,山東 京山
1860,大江戸倭歌集 : 6巻,911.15,911.15:詩歌/和歌．短歌/近世：江戸時代,詩歌,不明,その他
1811,大江門に行をりの道すからの長歌,911.158,911.158:和歌．短歌/近世：江戸時代/家集,和歌．短歌,不明,中島 広足
1839,天保佳話,919.5,919.5:日本文学/漢詩文．日本漢文学/近世：江戸時代,日本文学,江戸,その他
1820,天水抄,911.2,911.2:日本文学/詩歌/連歌,日本文学,不明,その他
1852,天満宮奉納北藩士庶百詠,911,911:日本文学/詩歌,日本文学,不明,不明
1834,太平楽皇国性質,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,大阪,その他
1852,太平秘覧,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,不明,不明
1820,太田道潅雄飛録,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,大阪,その他
1840,夷曲歌集百人一首,911,911:日本文学/詩歌,日本文学,金沢,その他
1851,奇特百歌撰初編,911.15,911.15:詩歌/和歌．短歌/近世：江戸時代,詩歌,江戸,緑亭 川柳
1816,奉納玉津嶋折字集抜萃,911.49,911.49:詩歌/川柳．狂句/雑俳：前句付，冠付，物は付，沓付，折句,詩歌,不明,その他
1856,娘庭訓金鶏 3編,913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,不明,その他
1850,孝経楼漫筆,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,江戸,その他
1850,孝經樓漫筆 4巻,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,不明,その他
1819,宇合称呼考,914,914:日本文学/評論．エッセイ．随筆,日本文学,不明,その他
1808,宇家良我波奈,911.15,911.15:詩歌/和歌．短歌/近世：江戸時代,詩歌,江戸,その他
1811,安宅集,913,913:日本文学/小説．物語,日本文学,京都,その他
1812,宋三大家絶句 : 1巻,919,919:日本文学/漢詩文．日本漢文学,日本文学,江戸,その他
1823,客者評判記 : 3巻,913.55,913.55:小説．物語/近世：江戸時代/滑稽本：十返舎一九，式亭三馬，滝亭鯉丈,小説．物語,不明,その他
1864,室町源氏胡蝶巻 26編 (存6編),913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,不明,その他
1862,宮川舎漫筆,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,江戸,その他
1849,富士一覽記,915.5,915.5:日本文学/日記．書簡．紀行/近世：江戸時代,日本文学,不明,その他
1860,富士山百景狂哥集,911.19,911.19:詩歌/和歌．短歌/狂歌．へなぶり,詩歌,その他,その他
1845,将門記,913.39,913.39:小説．物語/古代後期［中古］：平安時代/歴史物語,小説．物語,不明,不明
1854,小栗一代記,913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,江戸,その他
1813,小栗外伝,913.56,913.56:小説．物語/近世：江戸時代/読本：滝沢馬琴，上田秋成,小説．物語,江戸,その他
1820,小説由井ケ浜,913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,江戸,その他
1827,少女巻抄注,913.3,913.3:日本文学/小説．物語/古代後期［中古］：平安時代,日本文学,京都,その他
1803,居行子,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,大阪,その他
1814,山家集類題,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,不明,その他
1843,山蔭集,911.3,911.3:日本文学/詩歌/俳諧．俳句,日本文学,不明,不明
1836,山陽先生書後・山陽先生題跋 : 書後3巻題跋2巻附録2巻,919.5,919.5:日本文学/漢詩文．日本漢文学/近世：江戸時代,日本文学,京都,その他
1833,山陽詩鈔,919.5,919.5:日本文学/漢詩文．日本漢文学/近世：江戸時代,日本文学,大阪,その他
1841,山陽遺稿 : 文10巻詩7巻拾遺1巻,919,919:日本文学/漢詩文．日本漢文学,日本文学,大阪,その他
1861,峡中記遊,291.51,その他,その他,不明,その他
1851,川柳二合半酒,911.4,911.4:日本文学/詩歌/川柳．狂句,日本文学,不明,不明
1835,左大将家百首歌合,911.18,911.18:詩歌/和歌．短歌/歌合．曲水,詩歌,大阪,その他
1828,巨慶三笑 : 3巻,913.55,913.55:小説．物語/近世：江戸時代/滑稽本：十返舎一九，式亭三馬，滝亭鯉丈,小説．物語,不明,その他
1810,己痴群夢多字画尽,913.55,913.55:小説．物語/近世：江戸時代/滑稽本：十返舎一九，式亭三馬，滝亭鯉丈,小説．物語,江戸,その他
1804,年山紀聞,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,京都,その他
1824,幽谷余韻,919.5,919.5:日本文学/漢詩文．日本漢文学/近世：江戸時代,日本文学,不明,その他
1809,庚子道の記,915.5,915.5:日本文学/日記．書簡．紀行/近世：江戸時代,日本文学,不明,その他
1820,後の歌かたり,911.104,911.104:詩歌/和歌．短歌/論文集．評論集．講演集．歌話．評釈．鑑賞,詩歌,不明,中島 広足
1823,後夢路日記 : 草稿,915.5,915.5:日本文学/日記．書簡．紀行/近世：江戸時代,日本文学,不明,中島 広足
1812,後撰集新抄,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,名古屋,その他
1824,後無射集,913,913:日本文学/小説．物語,日本文学,京都,その他
1852,復讐銘々伝,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,江戸,その他
1838,心の種 : 3巻,911,911:日本文学/詩歌,日本文学,江戸,その他
1830,志良山百首,911,911:日本文学/詩歌,日本文学,不明,その他
1825,忠臣蔵,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,江戸,その他
1812,忠臣蔵偏癡気論,913.5,913.5:日本文学/小説．物語/近世：江戸時代,日本文学,江戸,その他
1857,忠臣蔵皮肉論,912.4,912.4:日本文学/戯曲/浄瑠璃：近松門左衛門，紀海音,日本文学,不明,十返舎一九
1806,怜野集,911.1,911.1:日本文学/詩歌/和歌．短歌,日本文学,江戸,その他
1832,思斎漫録,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,京都,その他
1856,怪談春雨夜話,913.57,913.57:小説．物語/近世：江戸時代/草双紙：赤本，黒本，青本，黄表紙，合巻,小説．物語,不明,その他
1825,愚雑爼 : 2巻,914,914:日本文学/評論．エッセイ．随筆,日本文学,京都,その他
1838,愛日楼文詩 : 4巻,919,919:日本文学/漢詩文．日本漢文学,日本文学,江戸,その他
1847,慎夏漫筆,914.5,914.5:日本文学/評論．エッセイ．随筆/近世：江戸時代,日本文学,江戸,その他
